Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3581,"Sherlock Holmes: The Complete Novels and Stories, Volume I",Arthur Conan Doyle,"Doyle, Arthur Conan",Loren D. Estleman,"=""0553212419""","=""9780553212419""",4,4.47,Bantam Classics,Mass Market Paperback,1059,1986,1927,2016/01/01,2018/07/08,,,read,,,,2,0
6931171,Mercury Falls (Mercury #1),Robert Kroese,"Kroese, Robert",,"=""0578032147""","=""9780578032146""",4,3.65,St. Culain Press,Paperback,337,2009,2009,2016/01/01,2018/07/08,,,read,,,,1,0
11579336,Mercury Rises (Mercury #2),Robert Kroese,"Kroese, Robert",,"=""1612180868""","=""9781612180861""",4,3.88,47North,Paperback,326,2011,2011,2016/01/01,2018/07/08,,,read,,,,1,0
15838356,Mercury Rests (Mercury #3),Robert Kroese,"Kroese, Robert",,"=""1612185843""","=""9781612185842""",4,3.93,47North,Paperback,346,2012,2012,2016/01/01,2018/07/08,,,read,,,,1,0
29588376,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",5,4.31,Spectra,Kindle Edition,752,2016,2006,2016/01/01,2018/07/08,,,read,,,,1,0
40604556,"Red Seas Under Red Skies (Gentleman Bastard, #2)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",5,4.25,Del Rey,Kindle Edition,578,2018,2007,2016/01/01,2018/07/08,,,read,,,,1,0
2890090,"The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch,"Lynch, Scott",,"=""0553804693""","=""9780553804690""",5,4.22,Del Rey,Hardcover,650,2013,2013,2016/01/01,2018/07/08,,,read,,,,1,0
8074907,"The Thorn of Emberlain (Gentleman Bastard, #4)",Scott Lynch,"Lynch, Scott",,"=""0575079584""","=""9780575079588""",0,4.31,Gollancz,Hardcover,512,,,2016/01/01,2018/07/08,to-read,to-read (#13),to-read,,,,1,0
28591613,"The Axe and the Throne (Bounds of Redemption, #1)",M.D. Ireman,"Ireman, M.D.",,"=""""","=""""",1,3.61,JayHenge,Kindle Edition,538,2016,2014,2016/01/01,2018/07/08,,,read,,,,2,0
9579634,"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence,"Lawrence, Mark",,"=""0007423292""","=""9780007423293""",4,3.83,Voyager,Hardcover,373,2011,2011,2015/01/01,2018/07/08,,,read,,,,2,0
12891107,"King of Thorns (The Broken Empire, #2)",Mark  Lawrence,"Lawrence, Mark",,"=""1937007472""","=""9781937007478""",4,4.18,Ace Books,Hardcover,449,2012,2012,2015/01/01,2018/07/08,,,read,,,,2,0
15985373,"Emperor of Thorns (The Broken Empire, #3)",Mark  Lawrence,"Lawrence, Mark",,"=""0425256855""","=""9780425256855""",4,4.23,Ace,Hardcover,434,2013,2013,2015/01/01,2018/07/08,,,read,,,,2,0
208,"A Shadow in Summer (Long Price Quartet, #1)",Daniel Abraham,"Abraham, Daniel",,"=""0765313405""","=""9780765313409""",4,3.63,Tor Books,Hardcover,336,2006,2006,2015/01/01,2018/07/08,,,read,,,,1,0
811161,"A Betrayal in Winter (Long Price Quartet, #2)",Daniel Abraham,"Abraham, Daniel",,"=""0765313413""","=""9780765313416""",4,3.91,Tor Books,Hardcover,320,2007,2007,2015/01/01,2018/07/08,,,read,,,,1,0
2443516,"An Autumn War (Long Price Quartet, #3)",Daniel Abraham,"Abraham, Daniel",,"=""0765313421""","=""9780765313423""",4,4.06,Tor Books,Hardcover,366,2008,2008,2015/01/01,2018/07/08,,,read,,,,1,0
6065889,"The Price of Spring (Long Price Quartet, #4)",Daniel Abraham,"Abraham, Daniel",Jackie Aber,"=""076531343X""","=""9780765313430""",4,4.12,Tor Books,Hardcover,352,2009,2009,2015/01/01,2018/07/08,,,read,,,,1,0
18870640,"The End is Nigh (The Apocalypse Triptych, #1)",John Joseph Adams,"Adams, John Joseph","Hugh Howey, Ben H. Winters, Annie Bellet, Will McIntosh, Megan Arkenberg, Scott Sigler, Jack McDevitt, Nancy Kress, Seanan McGuire, Jonathan Maberry, David Wellington, Robin Wasserman, Matthew Mather, Paolo Bacigalupi, Sarah Langan, Desirina Boskovich, Charlie Jane Anders, Ken Liu, Jake Kerr, Tananarive Due, Tobias S. Buckell, Jamie Ford","=""""","=""""",5,3.90,Broad Reach Publishing,ebook,350,2014,2014,2015/01/01,2018/07/08,,,read,,,,1,0
22930598,"The End is Now (The Apocalypse Triptych, #2)",John Joseph Adams,"Adams, John Joseph","Hugh Howey, Scott Sigler, Seanan McGuire, Jamie Ford, Elizabeth Bear, Ben H. Winters, Jonathan Maberry, Daniel H. Wilson, Robin Wasserman","=""""","=""""",5,3.90,Broad Reach Publishing,Kindle Edition,337,2014,2014,2015/01/01,2018/07/08,,,read,,,,1,0
17855756,"Dust (Silo, #3)",Hugh Howey,"Howey, Hugh",,"=""1490904387""","=""9781490904382""",5,4.24,Broad Reach Publishing,Paperback,458,2013,2013,2015/01/01,2018/07/08,,,read,,,,1,0
17306293,"Shift (Silo, #2)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",5,4.12,Broad Reach Publishing,Kindle Edition,579,2013,2013,2015/01/01,2018/07/08,,,read,,,,1,0
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",5,4.23,Broad Reach Publishing,Kindle Edition,509,2012,2012,2015/01/01,2018/07/08,,,read,,,,1,0
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"Galbraith, Robert",,"=""0316206849""","=""9780316206846""",4,3.89,Mulholland Books,Hardcover,456,2013,2013,2015/01/01,2018/07/08,,,read,,,,1,0
18214414,"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,"Galbraith, Robert",J.K. Rowling,"=""0316206873""","=""9780316206877""",4,4.05,Mulholland Books,Hardcover,464,2014,2014,2015/01/01,2018/07/08,,,read,,,,1,0
13497818,The Casual Vacancy,J.K. Rowling,"Rowling, J.K.",,"=""0316228532""","=""9780316228534""",4,3.31,"Little, Brown and Company",Hardcover,503,2012,2012,2015/01/01,2018/07/08,,,read,,,,2,0
19327383,The Key to Rebecca,Ken Follett,"Follett, Ken",,"=""1743290659""","=""""",4,3.96,Macmillan,Kindle Edition,362,1998,1980,2014/01/01,2018/07/08,,,read,,,,1,0
